project/feature,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0.144306401344473,0.024282300896792,0.019157828868779,0.111406491992408,0.181334992605811,0.13619334809745,0.080917739641643,0.089102429769401,0.095427197025514,0.051673085803267,0.128911050338279,0.056767078730676,0.04622063576204,0.053413110200403,0.16611230535218,0.051337148920343,0.036316820768241,0.065669437696283,0.105682159355308,0.090755780893985,0.634309554640566
2,0.020789200548098,0.045128848334468,0.013314207115315,0.058668229795832,0.042683764238099,0.029805474375171,0.034822642651654,0.083391309615252,0.020264950002437,0.05315227601243,0.040094542494203,0.02165773662706,0.038125338968564,0.044459692564267,0.015153269953572,0.019869730191635,0.015878808084549,0.017140376389081,0.01786624744523,0.014622787688617,0.768691302703017
3,0.078127800470638,0.020713834949083,0.004647533037484,0.056719790075673,0.133838435195179,0.06784343102931,0.006986274211095,0.099997698794232,0.059596259279156,0.055397230559947,0.103834134886608,0.054589468303488,0.043444243886904,0.01545199151385,0.061189314811291,0.033548529020903,0.034880908035346,0.041337996634735,0.019115463049925,0.015959262462682,0.497543662938494
4,0.20488782193524,0.033030036793352,0.023070877953823,0.115267806756275,0.236483257458535,0.177482954094236,0.047917287923025,0.142423598495862,0.181472970532323,0.062769404360505,0.252078594183593,0.067115157240907,0.097996745913672,0.052777264443566,0.210239256910388,0.033737609997911,0.04239116238091,0.126719033262787,0.108264342441896,0.09059044824874,0.829911133500964
5,0.130659030058436,0.017803300322546,0.016883912835734,0.091382684921825,0.184668380740408,0.120586439363888,0.024920720029137,0.116527908831791,0.095640960123923,0.051134565765636,0.191163128984095,0.054755224169882,0.080640014268213,0.031499570403401,0.127909943678941,0.017288906828415,0.020465324790322,0.08924821174673,0.103672616695415,0.075492823608215,0.765281235350387
6,0.0459376644445,0.011633633406232,0.004598337083589,0.069364311958593,0.062791916196196,0.047863309574967,0.01927955877845,0.084473404993593,0.053110532503662,0.020474861721381,0.0501877646354,0.002475212853063,0.036193015174003,0.021774791953579,0.046162804293097,0.010751139877618,0.010751139877618,0.04009110373211,0.024380157190862,0.039010501885529,0.515946930007447
7,0.495676893882824,0.374754122153618,0.015849367645047,0.610223816519814,0.682454085237686,0.571846916013197,0.542890811412347,0.486952525426485,0.404420233932988,0.310721722902733,0.7622533024891,0.173701241311626,0.394984713536496,0.305688343130333,0.399478087491771,0.165127859239032,0.165127859239032,0.521957930406923,0.420212589897833,0.420212589897833,0.952265625436664
8,0.038496784553604,0.012066272513489,0.014394998041884,0.037158868656578,0.019759851582823,0.041156349501797,0.032266232087311,0.012638576129643,0.036709854651835,0.022095233973897,0.016550789231189,0.00309389657949,0.009012701878366,0.023652420754201,0.023555570676934,0.003891476834075,0.004145378194898,0.015080093399089,0.018975095892926,0.032593576050384,0.234666257781873
9,0.084272572534477,0.030669037594796,0.035697851659086,0.060413811300515,0.086926037890446,0.08290531517166,0.043715013449921,0.072186335569966,0.077323591354559,0.035757850302584,0.084063866608655,0.020549748125635,0.051747027019488,0.016798079683437,0.073885281223686,0.031706854060357,0.038773025871611,0.04226525244215,0.050373521713153,0.051613497526207,0.9386808697586
10,0.071716122085438,0.026164887906037,0.018303738388805,0.042232265726062,0.062171580589637,0.061420840972026,0.035934069747635,0.039562035806343,0.068502087358161,0.021804160296164,0.054067022480113,0.019164023411232,0.029722927931366,0.031009984041455,0.054895390256835,0.01448640404585,0.025144330385338,0.028559348185663,0.034460842926147,0.022399489963674,0.649134075061662
11,0.057952774163478,0.018987747877774,0.026603354994332,0.054114500159098,0.054138564499624,0.055285683945534,0.047244145707956,0.056552860611416,0.044728083155134,0.024895415482048,0.052478372184622,0.022370519813674,0.029127137322929,0.023137834546085,0.048506022676166,0.023979785531815,0.023979785531815,0.039671509659516,0.051242087209718,0.048139386042109,0.711443570799809
12,0.179978665099625,0.054372180088489,0.013628040993717,0.045513440029623,0.157577207091411,0.155598796970199,0.03811338662831,0.091083330143349,0.179978665099625,0.040647517331011,0.155798849961312,0.030450649583133,0.085161802126434,0.04712376791121,0.096072688178413,0.045513440029623,0.045513440029623,0.113534644391102,0.043103441022626,0.086803236520729,0.395537806456477
13,0.306872511631316,0.121514787706572,0.008744463239055,0.503258334775646,0.228538143953528,0.228538143953528,0.385392895918948,0.306872511631316,0.181098099934069,0.228538143953528,0.257800517495555,0.089020258687524,0.141346329057619,0.128377120028157,0.233248344965654,0.097261411824331,0.097261411824331,0.15917427089158,0.133751372177774,0.123463860743449,0.60518657663342
14,0.293275119779391,0.1662581696673,0.115696407535458,0.228627771453206,0.401655976581781,0.301221834289303,0.160546704657926,0.31391944377175,0.270648936022116,0.100270300816357,0.41748892868208,0.113503306434016,0.179256066928321,0.170371624609992,0.268511752549903,0.1813432742299,0.186478683673351,0.260796122401891,0.192036903226223,0.197444389418747,0.986786720268032
